"","long","lat","el","dc","air_temp","smb","rating"
"318877370.1",151.2695,-74.804666,2338,324.303848826376,246.982073176779,15,1
"323436982",160.66,-74.80566,1338.5,63.1345985393156,257.381033168292,58,1
"323436982.1",160.66,-74.80566,1338.5,63.1345985393156,257.381033168292,47,1
"318704279",151.152166,-74.831,2330,326.931686916921,246.947541683547,82,1
"277631734",123.830833,-74.909166,3243,881.098453575656,237.278688880626,32,1
"274352118",122.647166,-74.9885,3237.5,898.780013416835,236.965370255297,30,1
"290143127",129.634,-75.007338,3072.5,874.965346643038,239.770145637589,22,1
"275516813",123.188333,-75.008333,3244.5,896.503697886398,236.966894996664,29,1
"276505015",123.604333,-75.008833,3247,893.449437509575,237.048116987294,26,1
"276505015.1",123.604333,-75.008833,3247,893.449437509575,237.048116987294,29,1
"274924366",123.0325,-75.047666,3244.5,901.930823257716,236.966787032365,27,1
"277493116",124.266166,-75.099833,3240,898.856342724957,237.420596685996,29,1
"275141376",123.312,-75.122,3247.5,907.753924105583,236.983955980103,29,1
"274450741",123.098666,-75.152666,3247.5,912.651640648822,236.975958015931,33,1
"275971407",123.7585,-75.154833,3243.5,908.112530297695,237.209643861985,23,1
"274411225",123.1855,-75.194666,3246.5,916.495560212312,236.994556788328,26,1
"274805887",123.394166,-75.208666,3245.5,916.466111938052,237.041192727777,26,1
"275319032",123.8305,-75.291833,3235.5,922.438268360677,237.250634169269,28,1
"273264399",122.9575,-75.295166,3242.5,928.98944314561,236.99841809328,27,1
"273244577",122.944333,-75.295166,3243.5,929.090146698872,236.996594177215,30,1
"273264400",122.950666,-75.295333,3243.5,929.059558597655,236.997510477288,29,1
"287436304",129.706833,-75.419833,3051,870.755348659468,239.887886988387,38,1
"287455900.1",129.808833,-75.4475,3046,866.827386209215,239.924718583727,29,1
"287455900.2",129.808833,-75.4475,3046,866.827386209215,239.924718583727,39,1
"312086769",145.9225,-75.529,2473,450.354461280354,243.706357194197,60,1
"311986008.1",145.857166,-75.536,2481,451.865054880891,243.688055735208,45,1
"311986008.2",145.857166,-75.536,2481,451.865054880891,243.688055735208,47,1
"311849645",145.7885,-75.5505,2487,453.226043830365,243.666109003101,11,1
"297850941",135.679,-75.573833,2816,713.602301607572,241.613267899472,20,1
"297941156.1",135.8315,-75.598,2814,708.641876762445,241.639170890157,29,1
"305337967",140.475666,-75.601,2636,591.97403355662,242.590208265235,38,1
"297526145",135.673833,-75.618833,2815,711.629950084077,241.614187419121,29,1
"305420745.1",140.630666,-75.622166,2631.5,587.098029151277,242.605718035037,31,1
"305021189",140.476833,-75.646,2637.5,589.843441196725,242.530946566428,40,1
"178669054.1",0,-90,2758,1249.30391261843,241.294325,78,1
"4313080",22.98594,-70.14508,52,44.5231417819172,272.707622369777,485.19064,1
"4409404",23.02947,-70.1681,53,42.5062690027419,272.696337318084,456.6442,1
"4506153",23.0731,-70.19098,51,39.88238758568,272.680636329678,600.912136,1
"4603410",23.11519,-70.21311,48,37.2958022497507,272.678391542727,519.426173,1
"4700990",23.15901,-70.23597,48.5,34.4930697264205,272.678976568395,539.767526,1
"4785615",23.19771,-70.25611,50.5,32.0193425864218,272.68190686312,546.690076,1
"4883306",23.22122,-70.28232,58.5,28.9842082183418,272.681887416744,496.2076,1
"4980974",23.24467,-70.30826,64.5,25.9813970013217,272.684202399745,555.207343,1
"5078498",23.26763,-70.33412,62.5,22.9941256291059,272.688532852847,496.408703,1
"5175910",23.29129,-70.36015,62,19.9785077732637,272.69502303472,491.767616,1
"5274087",23.31439,-70.38595,68,16.9876625136388,272.702876472558,437.31352,1
"5374060",23.33618,-70.41122,71,14.0663510076935,272.711141445639,567.826554,1
"5477209",23.35907,-70.43736,73,11.0425166749937,272.719894819783,308.906223,1
"5582742",23.38278,-70.46327,61,8.03579743433141,272.728122188302,367.486323,1
"5689892",23.40451,-70.48941,44,5.04455920433389,272.734440557836,382.211866,1
"5799590",23.43007,-70.51528,49,2.05816342994447,272.734741036259,404.743593,1
"5913192",23.45425,-70.54122,55,0.982939408413295,272.738508579881,503.713863,1
"6030538",23.48049,-70.56617,62,3.91579283455485,272.741007620485,667.680523,1
"6151065",23.50268,-70.59159,63,6.85249091801631,272.741336780431,543.0933,1
"6274895",23.52652,-70.61755,63,9.86890877520708,272.740565775095,589.661276,1
"6402634",23.55062,-70.64345,62,12.882275046809,272.738539905441,915.793476,1
"6532293",23.57338,-70.66947,61,15.8930398974591,272.734885853196,624.924513,1
